Exercise Name,Body Part Engaged
Swimming,"Back / Wing, Erector Spinae, Hip, Trapezius"
Boxer Shuffle Cardio,Cardio
Jab Boxing,Cardio
Punches,Cardio
Right Uppercut,Cardio
Right Cross,Cardio
Hook Kick,Cardio
Boxing Right Cross,Cardio
Clap Push-Up,"Calisthenic, Chest"
Walking High Knee Lunges,Cardio
High Knees Lift Run,Cardio
Above Head Chest Stretch,Chest
Dynamic Chest Stretch,Chest
Kettlebell Pistol Squats,Leg
Kettlebell One-Arm Military Press,Shoulders
Frog Reverse Hyperextension,"Erector Spinae, Hip"
Kettlebell Split Snatch,"Hip, Leg, Shoulders"
Kettlebell Windmill,"Abs, Shoulders"
Kettlebell Swings,"Abs, Full Body, Hip, Leg, Shoulders"
Kettlebell Arnold Press,Shoulders
Bent Over Rear Delt Fly | Gymstick,"Shoulders, Trapezius"
Bodyweight Single Leg Deadlift,Hip
Brachialis Pull-up,"Back / Wing, Biceps"
Full Crunch Machine,Abs
Bodyweight Box Squat,"Hip, Leg"
Single Dumbbell Close-grip Press,"Chest, Triceps"
Front Plank with Arm Lift,Abs
Bhujangasana | Cobra Abdominal Stretch,"Abs, Neck, Yoga"
Step Up Single Leg Balance with Bicep Curl,"Hip, Leg"
Bird Dog,"Erector Spinae, Hip"
Ab Straps Leg Raise,"Abs, Calisthenic"
Dumbbell Step-Up,"Hip, Leg"
Belt Squat,"Hip, Leg"
Close Grip Lat-Pulldown,Back / Wing
Seated Cable Rope Row,"Back / Wing, Erector Spinae"
Lever Single Leg Curl,Leg
Reverse Lunge,"Hip, Leg"
Kneeling Diamond Push-Up,"Chest, Triceps"
Jack Burpees,Cardio
Single Leg Step Down,Leg
Behind The Back Barbell Wrist Curl,Forearm
Dips Between Chairs,"Calisthenic, Chest, Triceps"
Cable Seated Shoulder Internal Rotation,Shoulders
Half Kneeling Cable External Rotation,Shoulders
Landmine Lateral Raise,Shoulders
Cable Seated Pullover,Back / Wing
Seated Dumbbell Front Raise,Shoulders
Astride Jumps,Cardio
Boat Pose,"Abs, Leg"
Scapular Protraction and Retraction,"Back / Wing, Shoulders, Trapezius"
Dumbbell Glute Bridge,Hip
Ring Inverted Row,"Back / Wing, Calisthenic"
Push-up With Push-up Bars,Chest
Seated Twist Machine,Abs
Long Jump,"Cardio, Leg"
Lever Assisted Single Leg Press,Leg
Cable One-Arm Overhead Triceps Extension,Triceps
Standing Barbell Triceps Extension,Triceps
Nordic Hamstring Curl,Leg
Inverted Row,Back / Wing
Smith Machine Decline Bench Press,Chest
One Arm Decline Cable Fly,Chest
One Arm Kettlebell Snatch,"Full Body, Hip, Leg, Shoulders"
Lever Cable Rear Pulldown,Back / Wing
Close Grip Z-Bar Curl,Biceps
Dumbbell Scott Curl,Biceps
Cross Cable Face Pull,"Shoulders, Trapezius"
Shotgun Row,Back / Wing
Elbow Reverse Push-Up,"Back / Wing, Trapezius"
Impossible Dips,"Calisthenic, Full Body, Triceps"
Korean Dips,"Calisthenic, Chest, Full Body, Triceps"
Straight Bar Dip,"Calisthenic, Chest, Full Body, Triceps"
Inchworm,Abs
Weighted One Arm Pull-up,Back / Wing
Dumbbell One Arm Reverse Grip Press,Chest
Cable Crossover Lat Pulldown,Back / Wing
One Arm Landmine Row,"Back / Wing, Shoulders"
Front Plank With Arm And Leg Lift,"Abs, Cardio, Hip, Leg"
Horizontal Leg Press,Leg
Resistance Band Reverse Hyperextension,Hip
Resistance Band Seated Shoulder Press,Shoulders
Resistance Band Toe Touch,"Hip, Leg"
Barbell Curl On Arm Blaster,Biceps
Arm Blaster Hammer Curl,Biceps
Dumbbell Curl On Arm Blaster,Biceps
Lever One-Arm Chest Press,Chest
Weighted Lying Twist,Abs
Standing One Arm Chest Stretch,"Biceps, Chest, Forearm"
Kneeling Hip Flexor Stretch,"Hip, Leg"
Standing Quadriceps Stretch,Leg
Single-Arm Medicine Ball Push-Up,Chest
Stability Ball Decline Push-Up,Chest
Dumbbell Pullover On Stability Ball,Chest
Stability Ball Push-Up,Chest
Swiss Ball Rollout,Abs
Exercise Ball Wall Squat,"Hip, Leg"
Weighted Side Bend On Stability Ball,Abs
Exercise Ball Triceps Extension,Triceps
Stability Ball V-Up,Abs
Exercise Ball Frog Crunch,Abs
Leg Curl On Stability Ball,Leg
Dumbbell Decline One-Arm Hammer Press,"Chest, Triceps"
Bench Pike Push-up,"Calisthenic, Shoulders"
Pike Push-up,"Calisthenic, Chest, Shoulders"
Tall Kneeling One Arm Kettlebell Press,Shoulders
Kettlebell Clean and Jerk,"Cardio, Full Body, Hip, Leg, Shoulders"
Kettlebell Goblet Squat,"Hip, Leg"
Lever Reverse T-Bar Row,Back / Wing
One Arm Biceps Curl,Biceps
Kettlebell Deadlift,"Erector Spinae, Hip, Leg"
